Musician's Bio,Full Name,Alternate Name,Born,Died,Gharana,Gender,Instrument
Kale Khan,Kale Khan,,,,Patiala,M,Vocal
Ali Baksh,Ali Baksh,,,,Patiala,M,Vocal
Ashiq Ali Khan,Ashiq Ali Khan,,1890,1948,Patiala,M,Vocal
Mukhtar Begum,Mukhtar Begum,,1911,1982,Patiala,F,Vocal
Bade Ghulam Ali Khan,Bade Ghulam Ali Khan,,1902,1968,Patiala,M,Vocal
Barkat Ali Khan,Barkat Ali Khan,,1908,1963,Patiala,M,Vocal
Amanant Ali Khan,Amanant Ali Khan,,1922,1974,Patiala,M,Vocal
Fateh Ali Khan,Fateh Ali Khan,,1935,2017,Patiala,M,Vocal
Munawar Ali Khan,Munawar Ali Khan,,1930,1989,Patiala,M,Vocal
Nazakat Ali Khan,Nazakat Ali Khan,,1928,1984,,M,Vocal
Salamat Ali Khan,Salamat Ali Khan,,1934,2001,,M,Vocal
Nusrat Fateh Ali Khan,Nusrat Fateh Ali Khan,,1948,1997,Patiala,M,Vocal
Ajay Chakbrabarty,Ajay Chakbrabarty,,1952,,Patiala,M,Vocal
Kaushiki Chakrabarty,Kaushiki Chakrabarty,,1980,,Patiala,F,Vocal
Raza Ali Khan,Raza Ali Khan,,1962,,Patiala,M,Vocal
Mazhar Ali Khan,Mazhar Ali Khan,,,,Patiala,M,Vocal
Faiyaz Khan,Faiyaz Khan,,1886,1950,Agra,M,Vocal
Vilayat Hussein Khan,Vilayat Hussein Khan,,1895,1962,Agra,M,Vocal
Khadim Hussain Khan,Khadim Hussain Khan,,1907,1993,Agra,M,Vocal
Ata Hussain Khan,Ata Hussain Khan,,1898,1980,Agra,M,Vocal
Latafat Hussain Khan,Latafat Hussain Khan,,1920,1986,Agra,M,Vocal
Yunus Khan,Yunus Khan,,1927,2012,Agra,M,Vocal
Sharafat Hussain Khan,Sharafat Hussain Khan,,1938,1985,Agra,M,Vocal
Mushtaq Hussain Khan,Mushtaq Hussain Khan,,1878,1964,Rampur-Sahaswan,M,Vocal
Altaf Hussain Khan,Altaf Hussain Khan,,1863,1964,Khurja,M,Vocal
Azam Bai,Azam Bai,,1906,1986,Jaipur-Atrauli,F,Vocal
Kesarbai Kerkar,Kesarbai Kerkar,,1892,1977,Jaipur-Atrauli,F,Vocal
Laxmibai Jadhav,Laxmibai Jadhav,,1901,1979,Jaipur-Atrauli,F,Vocal
Mogubai Kurdikar,Mogubai Kurdikar,,1904,2001,Jaipur-Atrauli,F,Vocal
Mallikarjun Mansur,Mallikarjun Mansur,,1911,1992,Jaipur-Atrauli,M,Vocal
Dhontuni Khulkarni,Dhontuni Khulkarni,,1927,2014,Jaipur-Atrauli,F,Vocal
Kishori Amonkar,Kishori Amonkar,,1932,2017,Jaipur-Atrauli,F,Vocal
Rahmat Khan,Rahmat Khan,,1855,1922,Gwalior,M,Vocal
Ramkrishnabuwa Vaze,Ramkrishnauwa Vaze,Vazebuwa,1871,1945,Gwalior,M,Vocal
Mirashi Buwa,Mirashi Buwa,,1883,1966,Gwalior,M,Vocal
V.D. Paluskar,V.D. Paluskar,,1872,1931,Gwalior,M,Vocal
Anant Mahohar Joshi,Anant Mahohar Joshi,,1881,1967,Gwalior,M,Vocal
Krishnarao Pandit,Krishnarao Pandit,,1893,1989,Gwalior,M,Vocal
Omkarnath Thakur,Omkarnath Thakur,,1897,1967,Gwalior,M,
Vinayakrao Patwardhan,Vinayakrao Patwardhan,,1898,1975,Gwalior,M,Vocal
Narayanrao Vyas,Narayanrao Vyas,,1902,1984,Gwalior,M,Vocal
Gajanan Anant Joshi,Gajanan Anant Joshi,,1911,1987,Gwalior,M,Vocal
D.V. Paluskar,D.V. Paluskar,,1921,1955,Gwalior,M,Vocal
Yashwant Buwajoshi,Yashwant Buwajoshi,,1928,2012,Gwalior,M,Vocal
Jagannathbuwa Purohit,Jagannathbuwa Purohit,,1904,1968,Agra?,M,Vocal
Rahimuddin Khan Dagar,Rahimuddin Khan Dagar,,1900,1975,Dagar,M,Vocal
Tansen Pande (Hussainuddin Dagar),Tansen Pande,(Hussainuddin Dagar),1910,1966,Dagar,M,Vocal
Nasir Moinuddin Dagar,Nasir Moinuddin Dagar,,1919,1966,Dagar,M,Vocal
Nasir Aminuddin Dagar,Nasir Aminuddin Dagar,,1923,2000,Dagar,M,Vocal
Zia Mohiuddin Dagar,Zia Mohiuddin Dagar,,1929,1990,Dagar,M,Rudra Veena
Zia Fariduddin Dagar,Zia Fariduddin Dagar,,1932,2013,Dagar,M,Vocal
Abdul Karim Khan,Abdul Karim Khan,,1872,1937,Kirana,M,Vocal
Abdul Wahid Khan,Abdul Wahid Khan,,1872,1949,Kirana,M,Vocal
Sureshbabu Mane (Abdul Rehman),Sureshbabu Mane,(Abdul Rehman),1902,1953,Kirana,M,Vocal
Banubai Latkar (Saraswati Mirajkar),Banubai Latkar,(Saraswati Mirajkar),1905,1970,Kirana,F,Vocal
Sawai Gandharva,Sawai Gandharva,,1886,1952,Kirana,M,Vocal
Hirabai Barodekar,Hirabai Barodekar,,1905,1989,Kirana,F,Vocal
Saraswati Rane,Saraswati Rane,,1913,2006,Kirana,F,Vocal
Gangubai Hangal,Gangubai Hangal,,1913,2009,Kirana,F,Vocal
Roshanara Begum,Roshanara Begum,,1917,1982,Kirana,F,Vocal
Bhimsen Joshi,Bhimsen Joshi,,1922,2011,Kirana,M,Vocal
Ram Narayan,Ram Narayan,,1927,,Kirana,M,Vocal
"Hangal, Krishna","Hangal, Krishna",,1929,2004,Kirana,F,Vocal
Abdul Zafar Khan,Abdul Zafar Khan,,,,,M,Sarangi
Amir Khan,Amir Khan,,1912,1974,Kirana/Indore,M,Vocal
Shakoor Khan,Shakoor Khan,,1905,1975,,M,Sarangi
Hafizullah Khan,Hafizullah Khan,,1946,,Kirana,M,Sarangi
Mashkoor Ali Khan,Mashkoor Ali Khan,,1957,,Kirana,M,Vocal
Hafiz Ali Khan,Hafiz Ali Khan,,1888,1972,Rampur Senia,M,Sarod
